Frame,X,Y
1390,-48,210
1391,-36,203
1392,-26,202
1393,-22,203
1394,-19,206
1395,-17,209
1396,-17,209
1397,-18,208
1398,-19,203
1399,-33,194
1400,-26,183
1401,-30,184
1402,-42,194
1403,-30,211
1404,-28,224
1405,-25,235
1406,-19,245
1407,-13,251
1408,-7,250
1409,-3,242
1410,0,229
1411,1,221
1412,-2,220
1413,-7,218
1414,-14,214
1415,-22,207
1416,-28,200
1417,-29,201
1418,-27,200
1419,-35,194
1420,-22,186
1421,-21,185
1422,-22,186
1423,-36,193
1424,-26,202
1425,-28,212
1426,-28,222
1427,-28,231
1428,-25,239
1429,-18,243
1430,-9,240
1431,-3,231
1432,4,221
1433,8,218
1434,6,218
1435,2,212
1436,-6,203
1437,-28,193
1438,-28,186
1439,-44,192
1440,-41,193
1441,-37,192
1442,-21,186
1443,-19,184
1444,-19,186
1445,-30,197
1446,-28,207
1447,-33,215
1448,-34,220
1449,-33,224
1450,-30,226
1451,-23,227
1452,-15,226
1453,-9,221
1454,-6,214
1455,-5,208
1456,-7,202
1457,-21,193
1458,-16,182
1459,-23,176
1460,-30,176
1461,-34,176
1462,-33,172
1463,-27,166
1464,-21,160
1465,-21,156
1466,-25,159
1467,-29,169
1468,-32,177
1469,-31,177
1470,-28,173
1471,-21,168
1472,-10,161
1473,1,147
1474,7,129
1475,7,110
1476,3,94
1477,-2,77
1478,-11,59
1479,-22,42
1480,-34,30
1481,-44,26
1482,-51,27
1483,-55,29
1484,-56,28
1485,-55,26
1486,-50,24
1487,-44,22
1488,-39,18
1489,-37,11
1490,-36,3
1491,-36,-7
1492,-34,-17
1493,-31,-20
1494,-30,-15
1495,-28,-4
1496,-27,7
1497,-25,13
1498,-24,16
1499,-23,15
1500,-20,15
1501,-15,20
1502,-14,22
1503,-19,18
1504,-24,14
1505,-25,17
1506,-21,22
1507,-17,23
1508,-16,21
1509,-16,22
1510,-16,26
1511,-14,29
1512,-12,25
1513,-14,18
1514,-17,13
1515,-19,12
1516,-20,13
1517,-19,11
1518,-18,7
1519,-18,5
1520,-17,7
1521,-15,10
1522,-12,10
1523,-13,8
1524,-13,4
1525,-14,4
1526,-14,6
1527,-14,9
1528,-12,6
1530,-15,6
1531,-16,7
1532,-15,5
1533,-14,1
1534,-14,-3
1535,-15,-6
1536,-15,-6
1537,-14,-6
1538,-13,-6
1539,-13,-6
1540,-14,-6
1541,-14,-6
1542,-13,-7
1543,-11,-11
1544,-10,-15
1545,-11,-14
1546,-11,-9
1547,-10,-4
1548,-7,1
1549,-6,5
1550,-5,9
1551,-5,12
1552,-3,13
1553,-1,12
1554,0,10
1555,-2,9
1556,-4,8
1557,-6,7
1558,-10,4
1559,-14,4
1560,-18,5
1561,-20,4
1562,-18,4
1563,-15,4
1564,-10,5
1565,-6,8
1566,-2,9
1567,-1,5
1568,-6,-3
1569,-15,-11
1570,-23,-9
1571,-26,1
1572,-23,10
1573,-19,17
1574,-14,24
1575,-4,33
1576,10,39
1577,23,38
1578,33,30
1579,38,15
1580,40,1
1581,40,-7
1582,35,-8
1583,22,-4
1584,6,5
1585,-13,15
1586,-29,18
1587,-36,22
1588,-32,26
1589,-23,29
1590,-14,32
1591,-5,33
1592,1,34
1593,6,39
1594,8,50
1595,7,65
1596,4,80
1597,1,95
1598,-1,109
1599,1,119
1600,5,127
1601,8,134
1602,9,141
1603,6,148
1604,4,154
1605,2,162
1606,2,171
1607,2,182
1608,-4,202
1609,-4,218
1610,-4,237
1611,-4,248
1612,-5,254
1613,-1,269
1614,10,299
1615,28,333
1616,51,357
1617,77,362
1618,102,350
1619,119,332
1620,116,315
1621,102,305
1622,84,296
1623,65,279
1624,45,250
1625,30,227
1626,21,221
1627,19,221
1628,18,215
1629,16,203
1630,7,179
1631,1,158
1632,3,146
1633,11,148
1634,15,157
1635,13,169
1636,9,183
1637,0,216
1638,-5,241
1639,-6,253
1640,-2,249
1641,7,235
1642,20,214
1643,25,195
1644,41,164
1645,40,144
1646,28,139
1647,11,154
1648,-5,172
1649,-31,193
1650,-24,205
1651,-18,216
1652,-5,224
1653,9,225
1654,16,216
1655,16,203
1656,22,207
1657,34,231
1658,44,256
1659,48,267
1660,49,269
1661,53,267
1662,58,265
1663,61,258
1664,58,246
1665,54,232
1666,50,220
1667,45,213
1668,39,211
1669,31,208
1670,25,202
1671,18,196
1672,27,185
1673,30,179
1674,33,169
1675,35,162
1676,36,164
1677,34,171
1678,27,179
1679,19,184
1680,-2,197
1681,-10,202
1682,-15,203
1683,-6,207
1684,8,212
1685,23,210
1686,37,199
1687,42,191
1688,55,185
1689,57,183
1690,51,182
1691,41,181
1692,30,183
1693,21,183
1694,16,184
1695,6,190
1696,7,195
1697,18,198
1698,7,196
1699,3,192
1700,2,193
1701,14,203
1702,17,215
1703,20,225
1704,25,234
1705,33,240
1706,42,242
1707,53,237
1708,61,228
1709,69,220
1710,72,212
1711,70,206
1712,63,200
1713,50,196
1714,31,195
1715,12,193
1716,1,186
1717,1,183
1718,5,187
1719,13,186
1720,19,185
1721,23,186
1722,22,192
1723,35,200
1724,36,206
1725,32,209
1726,25,210
1727,16,210
1728,11,210
1729,12,212
1730,16,215
1731,22,221
1732,29,227
1733,36,228
1734,43,223
1735,49,218
1736,52,210
1737,47,203
1738,34,196
1739,18,191
1740,13,186
1741,9,184
1742,-2,190
1743,-2,193
1744,10,198
1745,10,202
1746,8,212
1747,9,225
1748,14,236
1749,21,243
1750,27,246
1751,33,243
1752,41,240
1753,50,240
1754,56,242
1755,58,240
1756,57,234
1757,53,225
1758,46,213
1759,36,204
1760,24,204
1761,12,207
1762,6,211
1763,5,211
1764,12,212
1765,19,213
1766,26,214
1767,30,213
1768,32,212
1769,28,214
1770,21,217
1771,13,225
1772,8,235
1773,6,242
1774,8,246
1775,13,249
1776,22,251
1777,32,252
1778,43,248
1779,51,242
1780,59,236
1781,62,229
1782,60,219
1783,52,211
1784,39,206
1785,23,208
1786,8,207
1787,-2,209
1788,-5,210
1789,0,210
1790,10,214
1791,19,220
1792,26,228
1793,27,233
1794,24,237
1795,23,241
1796,24,244
1797,26,246
1798,27,245
1799,29,244
1800,30,244
1801,29,241
1802,29,236
1803,30,232
1804,31,228
1805,28,224
1806,23,219
1807,17,216
1808,14,215
1809,14,216
1810,17,216
1811,21,215
1812,22,216
1813,22,222
1814,22,228
1815,20,233
1816,20,234
1817,20,237
1818,22,243
1819,24,248
1820,24,251
1821,25,251
1822,26,251
1823,27,246
1824,26,239
1825,24,231
1826,23,225
1827,21,224
1828,19,225
1829,18,225
1830,17,224
1831,19,222
1832,22,220
1833,27,218
1834,30,218
1835,29,219
1836,25,221
1837,19,222
1838,14,224
1839,13,226
1840,15,229
1841,18,232
1842,20,236
1843,23,241
1844,27,245
1845,31,246
1846,34,242
1847,34,234
1848,31,224
1849,26,214
1850,19,211
1851,12,215
1852,6,219
1853,5,223
1854,9,224
1855,14,224
1856,20,222
1857,27,222
1858,34,226
1859,38,232
1860,38,237
1861,35,237
1862,33,236
1863,32,234
1864,33,233
1865,35,232
1866,36,233
1867,35,233
1868,33,233
1869,29,229
1870,25,224
1871,23,218
1872,23,214
1873,24,212
1874,26,212
1875,28,214
1876,30,215
1877,32,216
1878,34,218
1879,33,221
1880,30,222
1881,24,222
1882,21,223
1883,23,224
1884,26,225
1885,29,227
1886,34,231
1887,39,235
1888,44,235
1889,47,232
1890,48,226
1891,45,219
1892,40,213
1893,32,206
1894,24,201
1895,19,198
1896,18,199
1897,20,201
1898,24,203
1899,28,208
1900,32,215
1901,36,222
1902,36,224
1903,34,224
1904,33,224
1905,35,227
1906,38,228
1907,42,228
1908,44,229
1909,45,231
1910,45,232
1911,46,229
1912,47,222
1913,45,213
1914,40,208
1915,34,207
1916,27,206
1917,22,205
1918,21,202
1919,22,201
1920,25,205
1921,27,212
1922,27,218
1923,27,223
1924,28,226
1925,31,229
1926,36,232
1927,42,234
1928,47,236
1929,53,235
1930,57,233
1931,58,229
1932,57,224
1933,52,216
1934,45,209
1935,36,205
1936,27,204
1937,21,204
1938,17,204
1939,18,204
1940,21,208
1941,24,216
1942,27,226
1943,31,237
1944,38,246
1945,46,249
1946,54,248
1947,60,243
1948,63,239
1949,63,235
1950,61,230
1951,60,225
1952,58,219
1953,54,213
1954,46,210
1955,36,210
1956,27,210
1957,21,211
1958,19,207
1959,21,201
